MCA (Cyber Security with Blockchain Technology)   (2 Years )
M.Com.   (2 Years )
M.Com. (Finance/Marketing/HR)   (2 Years )
M. Des. (Design)   (2 Years )
M. Des. (Fashion Design)   (4 Years )
M. Des. (Fashion Design & Technology)   (2 Years )
M. Des. (Fashion Technology)   (2 Years )
M. Design (Fashion & Textiles)   (2 Years )
M.Ed.   (2 Years )
M.Ed. Special Education (Intellectual Disability)   (2 Years )
M.Ed. - Special Education (Learning Disability)   (2 Years )
MFA   (2 Years )
MFA (Applied Arts)   (2 Years )
MFA (Painting)   (2 Years )
MFA (Visual Communication)   (2 Years )
M.P. Ed. (Master of Physical Education)   (2 Years )
M. Pharm (Drug Regulatory Affairs)   (2 Years )
M.Pharm (Industrial Pharmacy)   (2 Years )
M.Pharm (Pharmaceutical Analysis)   (2 Years )
M.Pharm (Pharmaceutical Chemistry)   (2 Years )
M. Pharm (Pharmaceutical Regulatory Affairs)   (2 Years )
M.Pharm (Pharmaceutics)   (2 Years )
M.Pharm (Pharmacology)   (2 Years )
M. Pharm (Phytopharmacy and Phytomedicine)   (2 Years )
M. Phil (Clinical Psychology)   (2 Years )
M.Sc (Actuarial Science)   (2 Years )
M.Sc. (Agriculture) - Agricultural Extension & Communication   (2 Years )
M.Sc. (Agriculture) Agronomy   (2 Years )
M.Sc. (Anthropology)   (2 Years )
M.Sc. (Applied Chemistry)   (2 Years )
M.Sc. (Applied Geology)   (2 Years )
M.Sc. (Applied Mathematics)   (2 Years )
M.Sc. (Applied Physics)   (2 Years )
M.Sc. (Artificial Intelligence & Data Analytics)   (2 Years )
M.Sc. (Astrobiology & Space Sciences)   (2 Years )
M.Sc. (Biochemistry)   (2 Years )
M.Sc. (Bioinformatics)   (2 Years )
M.Sc. (Biotechnology)   (2 Years )
M.Sc. (Biotechnology) (1Yr)   (1 Years )
M.Sc. (Biotechnology - International)   (2 Years )
M.Sc. Chemistry (Organic / Inorganic / Physical)   (2 Years )
M.Sc. (Climate Change and Green Technology)   (2 Years )
M.Sc. (Clinical Embryology)   (2 Years )
